StartedOn,FinishedOn,RequestedEnergy,EnergyDelivered,Protocol,PaymentType,PricePolicyRef,CostPerKWh,SessionCost,BonusPointsRedeemed,BonusPointsGained,VehicleID,StationPointID,ProviderID
2020/07/09 0:36:23,2020/07/09 2:26:9,33.1,33.2,OCCP,Credit Card,Standard,0.1,3.32,0,33,25,119,2
2020/03/27 18:33:45,2020/03/27 19:35:20,NULL,23.5,OCHP,Credit Card,Standard,0.1,2.35,0,23,1,76,3
2020/10/09 6:56:56,2020/10/09 7:40:31,NULL,33.1,OpenADR,Credit Card,Military,0.04,1.32,0,33,21,84,2
2020/04/18 8:21:32,2020/04/18 9:37:7,NULL,20.7,OCCP,Credit Card,Fast Pro,0.16,3.31,0,20,27,81,2
2020/05/19 14:5:10,2020/05/19 15:30:32,NULL,31.8,OCCP,Credit Card,Discount,0.08,2.54,0,31,10,40,4
2020/04/27 0:7:47,2020/04/27 2:25:22,NULL,24.8,OCPI,Credit Card,Military,0.04,0.99,0,24,30,181,3
2020/12/04 12:2:43,2020/12/04 13:44:13,25.6,25.2,OICP,Credit Card,Fast Pro,0.16,4.03,0,25,27,48,1
2020/07/13 11:42:5,2020/07/13 13:17:29,27.3,26.5,OICP,Credit Card,Fast Pro,0.16,4.24,0,26,15,134,2
2020/02/29 10:15:43,2020/02/29 11:11:26,NULL,29.7,ISO15118,Credit Card,Fast Pro,0.16,4.75,0,29,26,49,5
2020/04/09 1:28:6,2020/04/09 3:51:20,34.7,35.6,OICP,Credit Card,Standard,0.1,2.77,79,35,3,102,3
2020/02/16 6:53:13,2020/02/16 7:15:45,24.2,24.8,OCHP,Credit Card,Discount,0.08,1.98,0,24,11,88,1
2020/07/17 5:47:19,2020/07/17 7:36:10,NULL,18.1,OCPI,Credit Card,Military,0.04,0.72,0,18,27,44,2
2020/08/03 1:7:44,2020/08/03 2:10:15,NULL,37.2,ISO15118,Credit Card,Fast Pro,0.16,5.95,0,37,34,16,4
2020/02/01 3:9:6,2020/02/01 5:10:31,23.2,22.8,OpenADR,Credit Card,Standard,0.1,2.28,0,22,8,173,3
