StationID,PointType,LastUpdate,StatusID
23,DC,2020/12/19 03:48,2
20,AC3,2020/12/17 19:37,1
5,DC,2021/01/01 07:39,1
4,AC2,2021/01/01 00:02,5
37,AC2,2020/12/24 19:29,1
26,AC3,2020/12/23 13:22,1
7,DC,2020/12/16 10:58,1
18,DC,2020/12/18 10:17,2
26,AC2,2020/12/28 04:33,1
20,AC3,2020/12/16 18:34,2
32,AC2,2020/12/20 17:58,1
10,DC,2020/12/26 04:58,2
3,AC2,2020/12/15 11:58,5
39,DC,2020/12/18 06:05,2
12,DC,2020/12/23 08:43,3
9,AC2,2020/12/28 17:33,1
2,AC3,2020/12/29 13:08,4
13,DC,2020/12/30 06:21,2
32,DC,2020/12/26 08:15,6
36,DC,2020/12/16 04:20,3
31,DC,2020/12/24 11:51,2
19,AC3,2020/12/20 06:32,1
34,AC3,2020/12/24 21:34,6
24,AC3,2020/12/21 03:29,2
5,DC,2020/12/22 08:19,2
36,AC2,2020/12/30 19:05,5
14,DC,2020/12/23 08:03,5
7,AC2,2020/12/20 08:57,1
5,DC,2020/12/28 07:48,1
35,AC2,2020/12/19 12:35,1
3,AC2,2021/01/01 11:25,1
6,AC2,2020/12/18 13:38,1
36,DC,2020/12/29 10:21,1
21,DC,2020/12/21 04:21,6
8,AC3,2020/12/25 20:17,1
1,AC3,2020/12/23 03:59,2
26,AC3,2020/12/25 07:37,1
25,AC3,2020/12/24 17:10,1
17,AC3,2020/12/29 08:27,2
20,DC,2020/12/16 06:30,1
35,AC3,2020/12/18 23:45,2
12,AC2,2020/12/23 21:12,2
9,AC2,2020/12/18 18:35,4
17,AC2,2020/12/16 05:45,6
32,AC2,2020/12/19 12:39,3
27,AC2,2020/12/29 13:01,1
21,AC2,2020/12/16 15:44,6
15,DC,2021/01/01 01:04,5
18,DC,2020/12/15 12:16,1
23,DC,2020/12/25 02:02,5
29,DC,2020/12/19 13:55,3
30,AC3,2020/12/20 20:55,1
21,DC,2020/12/29 15:21,1
2,AC2,2020/12/15 21:05,1
5,DC,2021/01/01 13:48,6
34,AC3,2020/12/28 11:39,6
35,DC,2020/12/16 07:29,2
5,AC2,2020/12/21 08:12,2
11,AC2,2020/12/27 19:24,1
26,DC,2020/12/29 14:45,1
4,AC3,2020/12/27 15:37,1
28,AC2,2021/01/01 18:36,5
10,AC2,2020/12/17 18:31,6
15,AC2,2020/12/15 18:44,6
32,AC2,2020/12/23 21:50,1
37,DC,2020/12/24 18:44,5
4,DC,2020/12/21 04:07,5
5,AC2,2020/12/15 22:50,2
23,DC,2020/12/28 11:03,4
36,AC3,2020/12/24 22:53,1
16,AC2,2020/12/30 04:10,6
23,DC,2020/12/26 21:34,1
38,AC2,2020/12/29 21:24,1
17,AC3,2020/12/17 20:10,5
4,DC,2021/01/01 09:06,1
24,AC2,2020/12/22 20:50,1
29,DC,2020/12/25 07:12,5
28,AC2,2020/12/27 14:49,5
36,AC3,2021/01/01 00:34,1
9,AC2,2020/12/18 23:20,3
7,DC,2020/12/30 08:09,5
32,AC3,2020/12/26 08:31,2
4,AC3,2020/12/21 12:58,2
34,DC,2020/12/17 03:39,1
6,AC2,2020/12/22 19:07,1
3,AC2,2020/12/20 04:08,5
10,AC2,2020/12/21 09:08,1
12,AC2,2020/12/15 22:54,6
12,DC,2020/12/27 11:07,1
9,AC2,2020/12/26 11:48,2
10,AC2,2020/12/21 08:45,2
8,AC2,2020/12/18 13:25,3
16,DC,2020/12/17 15:47,6
9,DC,2020/12/28 04:36,1
22,AC3,2020/12/16 00:56,1
9,DC,2020/12/15 09:54,5
19,AC2,2020/12/25 16:07,1
9,AC2,2021/01/01 13:23,6
15,AC3,2020/12/20 04:09,1
9,DC,2020/12/22 02:52,1
24,AC3,2020/12/26 14:18,5
25,AC2,2020/12/18 13:50,1
7,AC2,2020/12/17 10:32,1
15,DC,2020/12/29 21:31,1
33,AC3,2020/12/31 06:29,2
40,AC3,2020/12/17 12:43,1
23,DC,2020/12/21 07:26,1
37,AC2,2020/12/28 19:25,5
8,DC,2020/12/16 07:00,6
14,AC3,2021/01/01 14:26,1
12,DC,2020/12/30 17:04,6
23,AC2,2020/12/29 08:45,6
4,AC2,2020/12/18 07:42,2
29,AC3,2021/01/01 07:27,6
19,AC2,2020/12/19 02:31,1
30,AC2,2020/12/31 15:42,1
19,AC3,2020/12/31 13:49,1
2,AC2,2020/12/18 09:29,6
37,AC2,2020/12/27 02:46,2
35,AC2,2021/01/01 15:33,6
10,AC2,2020/12/17 04:25,2
39,AC3,2020/12/23 11:58,4
35,DC,2020/12/30 03:44,1
17,AC3,2020/12/31 19:53,2
9,DC,2020/12/24 00:28,6
22,AC2,2020/12/25 10:25,2
29,AC3,2020/12/29 08:24,5
16,DC,2020/12/24 03:52,5
34,AC2,2020/12/25 11:16,5
29,AC3,2020/12/25 07:15,6
20,DC,2020/12/29 01:08,1
24,AC3,2020/12/24 02:30,3
38,AC2,2020/12/30 08:05,5
6,AC2,2020/12/19 12:02,1
29,AC2,2020/12/17 02:49,5
5,AC2,2020/12/27 00:32,1
25,AC3,2020/12/29 12:02,1
37,AC2,2020/12/21 09:28,1
11,AC2,2020/12/19 18:10,5
5,DC,2020/12/31 05:24,3
29,AC3,2020/12/18 01:48,2
30,AC2,2020/12/21 11:52,1
13,AC2,2020/12/21 03:52,4
14,AC2,2020/12/19 18:39,1
34,DC,2020/12/17 17:08,5
35,AC2,2020/12/26 22:38,6
37,AC3,2020/12/24 17:36,1
35,DC,2020/12/31 07:02,6
27,DC,2020/12/28 23:32,4
20,AC2,2020/12/17 20:13,1
25,AC2,2020/12/31 23:44,2
5,DC,2020/12/31 02:21,4
14,DC,2020/12/25 06:22,3
32,AC2,2020/12/29 06:56,1
32,AC2,2020/12/19 11:46,5
4,AC3,2020/12/17 04:59,5
28,AC2,2020/12/25 20:16,5
