VehicleID,Brand,Model,ReleaseYear,Type,BatterySize (kWh),CurrentBattery(percentage),UserID
Tesla,ev00,2019,PHEV,17.00,46.00,13
Opel,ev01,2020,BEV,17.00,36.00,24
VolksWagen,ev04,2012,FCEV,15.00,18.00,10
Tqkxprlr,ev05,2014,FCEV,17.00,54.00,19
Eylaicks,ev00,2014,FCEV,22.00,74.00,4
Obqdlopd,ev02,2021,PHEV,31.00,65.00,9
Dpghfgos,ev00,2019,PHEV,30.00,92.00,16
Xxcflktb,ev01,2017,PHEV,29.00,87.00,3
Tesla,ev05,2009,BEV,32.00,69.00,16
Opel,ev00,2011,BEV,29.00,32.00,9
VolksWagen,ev03,2018,PHEV,25.00,50.00,20
Tqkxprlr,ev02,2018,FCEV,30.00,46.00,10
Eylaicks,ev00,2017,PHEV,23.00,72.00,14
Obqdlopd,ev02,2013,BEV,24.00,25.00,19
Dpghfgos,ev02,2012,FCEV,26.00,43.00,24
Xxcflktb,ev00,2015,FCEV,99.00,77.00,23
Tesla,ev01,2016,FCEV,74.00,82.00,23
Opel,ev04,2009,PHEV,82.00,94.00,8
VolksWagen,ev05,2021,PHEV,62.00,23.00,9
Tqkxprlr,ev00,2011,PHEV,82.00,66.00,20
Eylaicks,ev02,2011,BEV,69.00,57.00,17
Obqdlopd,ev00,2021,BEV,17.00,25.00,20
Dpghfgos,ev01,2016,PHEV,14.00,30.00,14
Xxcflktb,ev05,2015,FCEV,14.00,68.00,18
Tesla,ev00,2013,PHEV,14.00,41.00,10
Opel,ev03,2010,BEV,25.00,39.00,19
VolksWagen,ev02,2015,FCEV,30.00,23.00,16
28,Tqkxprlr,ev00,2016,FCEV,27.00,43.00,1
29,Eylaicks,ev02,2010,FCEV,25.00,23.00,13
30,Obqdlopd,ev02,2012,PHEV,27.00,73.00,8
31,Dpghfgos,ev00,2011,PHEV,27.00,72.00,25
32,Xxcflktb,ev01,2011,PHEV,24.00,88.00,1
33,Tesla,ev04,2009,BEV,25.00,23.00,11
34,Opel,ev05,2020,BEV,30.00,57.00,15
35,VolksWagen,ev00,2011,PHEV,24.00,97.00,14
